individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
1,0.127,0.185,0.667,1.34,2.459,0.14,0,0,680,860,860,600,1370,1630,1720,1630
1,0.127,0.185,0.644,1.205,2.312,0.151,0,0,680,860,860,770,1370,1720,1720,1630
1,0.127,0.156,0.592,1.219,2.257,0.163,0,0,680,860,860,860,1370,1720,1720,1630
1,0.121,0.168,0.661,1.114,2.233,0.169,0,0,680,860,860,600,1370,1720,1720,1630
1,0.133,0.168,0.661,1.166,2.273,0.145,0,0,680,860,860,860,1630,1720,1720,1630
1,0.139,0.203,0.626,1.241,2.331,0.122,0,0,770,860,860,860,1550,1630,1720,1630
1,0.121,0.185,0.696,1.212,2.365,0.151,0,0,770,860,860,770,1550,1720,1720,1630
1,0.139,0.168,0.708,1.114,2.268,0.139,0,0,770,860,860,770,1630,1720,1720,1630
1,0.127,0.174,0.69,1.12,2.262,0.151,0,0,770,860,860,860,1550,1720,1720,1630
1,0.133,0.179,0.69,1.183,2.324,0.139,0,0,770,860,860,770,1630,1720,1720,1630
1,0.127,0.185,0.696,1.171,2.33,0.151,0,0,770,860,860,770,1630,1720,1720,1630
1,0.127,0.168,0.702,1.224,2.372,0.151,0,0,770,860,860,770,1630,1720,1720,1630
1,0.133,0.179,0.69,1.224,2.383,0.157,0,0,770,860,860,860,1630,1720,1720,1630
1,0.11,0.168,0.679,1.316,2.447,0.174,0,0,680,860,860,600,1370,1630,1720,1630
1,0.11,0.168,0.673,1.184,2.303,0.168,0,0,680,860,860,600,1370,1630,1720,1630
1,0.11,0.174,0.673,1.224,2.355,0.174,0,0,680,860,860,600,1370,1630,1720,1630
1,0.116,0.168,0.708,1.119,2.279,0.168,0,0,680,860,860,770,1370,1720,1720,1630
1,0.139,0.168,0.702,1.172,2.332,0.151,0,0,680,860,860,680,1550,1720,1720,1630
1,0.127,0.174,0.696,1.125,2.291,0.169,0,0,680,860,860,680,1550,1720,1720,1630
1,0.133,0.191,0.684,1.12,2.279,0.151,0,0,680,860,860,680,1550,1630,1720,1630
1,0.133,0.191,0.679,1.253,2.407,0.151,0,0,680,860,860,860,1550,1630,1630,1630
1,0.145,0.168,0.69,1.01,2.135,0.122,0,0,680,770,860,680,1370,1630,1630,1630
1,0.139,0.179,0.684,1.027,2.162,0.133,0,0,680,770,860,680,1550,1630,1630,1630
1,0.127,0.179,0.673,1.05,2.18,0.151,0,0,680,860,860,680,1550,1630,1630,1630
1,0.127,0.185,0.684,1.032,2.179,0.151,0,0,680,860,860,680,1550,1630,1720,1630
1,0.127,0.191,0.679,0.986,2.134,0.151,0,0,680,860,860,680,1550,1630,1720,1630
1,0.121,0.168,0.69,1.003,2.139,0.157,0,0,680,860,860,680,1550,1630,1720,1630
1,0.127,0.179,0.661,1.085,2.203,0.151,0,0,680,860,860,680,1370,1630,1720,1630
1,0.133,0.185,0.673,1.056,2.198,0.151,0,0,680,860,860,680,1550,1630,1720,1630
1,0.139,0.179,0.679,1.033,2.169,0.139,0,0,770,860,860,770,1550,1630,1720,1630
1,0.127,0.168,0.69,1.027,2.169,0.157,0,0,680,770,860,680,1550,1630,1720,1630
1,0.116,0.197,0.667,0.981,2.123,0.162,0,0,680,860,860,680,1550,1630,1720,1630
1,0.127,0.185,0.679,0.969,2.111,0.151,0,0,680,860,860,680,1550,1630,1720,1630
1,0.133,0.185,0.684,1.05,2.203,0.151,0,0,680,860,860,680,1550,1720,1720,1630
1,0.116,0.197,0.673,1.033,2.181,0.162,0,0,680,860,860,680,1550,1630,1720,1630
1,0.139,0.185,0.69,1.056,2.221,0.151,0,0,770,860,860,680,1630,1720,1720,1630
1,0.15,0.174,0.684,0.992,2.14,0.14,0,0,770,860,860,770,1630,1720,1720,1630
1,0.133,0.179,0.667,0.975,2.105,0.151,0,0,680,860,860,680,1630,1630,1720,1630
1,0.127,0.174,0.69,0.928,2.076,0.157,0,0,680,860,860,680,1630,1630,1720,1630
1,0.127,0.179,0.684,1.033,2.186,0.163,0,0,680,860,860,770,1630,1630,1720,1630
1,0.127,0.179,0.679,1.033,2.181,0.163,0,0,680,860,770,770,1370,1630,1630,1630
1,0.133,0.185,0.644,1.009,2.128,0.157,0,0,680,770,860,680,1370,1630,1630,1630
1,0.116,0.179,0.667,1.091,2.236,0.183,0,0,680,770,860,600,1550,1630,1630,1630
1,0.11,0.179,0.638,1.171,2.278,0.18,0,0,680,860,860,770,1370,1630,1630,1630
1,0.116,0.191,0.626,1.079,2.18,0.168,0,0,680,860,860,860,1370,1630,1630,1630
1,0.15,0.191,0.615,1.16,2.256,0.14,0,0,680,860,860,770,1550,1630,1630,1630
1,0.11,0.191,0.626,1.27,2.359,0.162,0,0,680,770,860,770,1370,1630,1630,1630
1,0.11,0.168,0.603,1.259,2.291,0.151,0,0,680,770,860,770,1370,1630,1630,1630
1,0.127,0.185,0.626,1.248,2.366,0.18,0,0,680,860,860,600,1370,1630,1630,1630
1,0.104,0.185,0.655,1.248,2.372,0.18,0,0,680,770,860,680,1370,1630,1630,1630
1,0.127,0.185,0.626,1.19,2.285,0.157,0,0,680,770,860,600,1720,1630,1630,1630
1,0.127,0.179,0.638,1.172,2.279,0.163,0,0,680,770,860,770,1720,1630,1630,1630
1,0.139,0.162,0.661,1.114,2.238,0.162,0,0,680,770,860,770,1720,1630,1630,1630
1,0.156,0.179,0.65,0.83,1.943,0.128,0,0,680,860,860,770,1370,1630,1630,1630
1,0.127,0.179,0.644,0.992,2.099,0.157,0,0,680,860,860,860,1370,1630,1630,1630
2,0.116,0.15,0.458,0.551,1.582,0.127,0.029,0.151,600,770,770,680,1290,1630,1630,1550
2,0.116,0.15,0.481,0.534,1.595,0.127,0.053,0.134,600,770,770,680,1460,1630,1630,1550
2,0.121,0.162,0.435,0.545,1.583,0.111,0.029,0.18,600,770,770,770,1460,1630,1630,1550
2,0.104,0.156,0.446,0.522,1.589,0.134,0.029,0.198,600,770,770,680,1550,1630,1630,1550
2,0.11,0.168,0.441,0.499,1.549,0.122,0.029,0.18,600,940,770,680,1200,1550,1550,1460
2,0.116,0.139,0.458,0.545,1.571,0.122,0.04,0.151,600,770,770,770,1460,1550,1550,1550
2,0.1214,0.145,0.452,0.505,1.526,0.1166,0.029,0.157,600,680,770,680,1290,1630,1630,1550
2,0.116,0.15,0.441,0.551,1.56,0.122,0.024,0.156,600,940,770,770,1290,1630,1550,1550
2,0.127,0.145,0.464,0.551,1.572,0.111,0.023,0.151,600,680,860,770,1290,1630,1630,1550
2,0.121,0.139,0.446,0.551,1.588,0.117,0.051,0.163,600,940,770,770,1290,1550,1630,1550
2,0.121,0.156,0.435,0.568,1.618,0.117,0.035,0.186,600,770,770,770,1200,1550,1630,1550
2,0.104,0.139,0.435,0.563,1.595,0.134,0.046,0.174,600,940,770,770,1200,1550,1630,1550
2,0.121,0.15,0.412,0.499,1.531,0.111,0.047,0.191,600,940,770,770,1200,1550,1550,1460
2,0.121,0.15,0.435,0.446,1.472,0.111,0.041,0.168,600,940,770,770,1290,1550,1630,1550
2,0.116,0.145,0.464,0.493,1.566,0.145,0.052,0.151,600,770,770,680,1290,1630,1630,1550
2,0.11,0.15,0.452,0.853,1.763,0.139,0.047,0.012,600,770,770,770,1550,1550,1630,1550
2,0.121,0.156,0.464,0.824,1.85,0.093,0.035,0.157,600,770,770,770,1370,1630,1630,1550
2,0.116,0.139,0.458,0.893,1.919,0.133,0.035,0.145,600,600,770,770,1290,1630,1630,1550
2,0.121,0.162,0.458,0.824,1.844,0.122,0.041,0.116,600,770,770,770,1370,1630,1630,1550
2,0.11,0.133,0.435,0.853,1.89,0.139,0.052,0.168,600,680,770,770,1290,1550,1630,1550
2,0.121,0.15,0.458,0.789,2,0.128,0.024,0.33,680,680,770,770,1370,1550,1550,1550
2,0.104,0.139,0.446,0.754,1.785,0.151,0.04,0.151,600,810,810,770,1290,1550,1550,1550
2,0.11,0.139,0.435,0.638,1.681,0.145,0.046,0.168,600,770,770,680,1460,1630,1630,1550
2,0.121,0.15,0.435,0.708,1.758,0.134,0.053,0.157,600,770,770,770,1290,1550,1630,1550
2,0.133,0.139,0.452,0.557,1.583,0.122,0.035,0.145,600,680,770,770,1290,1630,1630,1550
2,0.104,0.145,0.435,0.58,1.63,0.134,0.046,0.186,630,810,810,770,1290,1630,1630,1550
2,0.116,0.15,0.429,0.592,1.636,0.122,0.041,0.186,600,770,770,770,1550,1550,1550,1550
2,0.104,0.145,0.446,0.499,1.542,0.139,0.04,0.169,600,940,770,770,1290,1550,1630,1550
2,0.116,0.15,0.446,0.563,1.641,0.133,0.035,0.198,600,770,770,770,1200,1550,1630,1550
2,0.116,0.15,0.458,0.516,1.576,0.133,0.029,0.174,640,810,810,860,1290,1630,1630,1550
2,0.116,0.15,0.458,0.534,1.604,0.127,0.041,0.178,600,770,860,600,1200,1630,1630,1550
2,0.127,0.168,0.458,0.574,1.629,0.122,0.023,0.157,600,770,770,770,1200,1630,1630,1550
2,0.116,0.162,0.487,0.446,1.501,0.127,0.041,0.122,600,770,770,600,1200,1550,1550,1200
2,0.11,0.162,0.435,0.493,1.543,0.128,0.041,0.174,600,770,770,600,1290,1550,1550,1200
2,0.116,0.156,0.47,0.493,1.536,0.127,0.052,0.122,600,770,770,600,1200,1550,1550,1290
2,0.121,0.15,0.476,0.406,1.421,0.117,0.053,0.098,600,770,770,600,1200,1550,1550,1200
2,0.104,0.156,0.481,0.499,1.519,0.128,0.035,0.116,600,770,770,600,1200,1630,1550,1200
2,0.104,0.15,0.47,0.452,1.478,0.134,0.041,0.127,600,770,770,600,1200,1630,1550,1200
2,0.121,0.145,0.441,0.435,1.478,0.117,0.063,0.156,600,680,770,600,1550,1550,1550,1200
2,0.121,0.15,0.464,0.452,1.477,0.122,0.035,0.133,600,770,770,600,1200,1630,1630,1200
2,0.121,0.162,0.435,0.505,1.548,0.122,0.029,0.174,600,770,770,600,1200,1550,1550,1290
2,0.179,0.156,0.47,0.458,1.647,0.198,0.035,0.151,600,770,770,600,1200,1290,1550,1200
2,0.11,0.139,0.435,0.487,1.537,0.128,0.058,0.18,600,770,770,600,1200,1550,1550,1290
2,0.116,0.145,0.464,0.458,1.483,0.127,0.063,0.11,600,680,770,600,1200,1550,1550,1200
2,0.116,0.139,0.458,0.429,1.449,0.127,0.058,0.122,600,770,770,600,1290,1550,1550,1200
2,0.116,0.15,0.487,0.446,1.489,0.127,0.024,0.139,600,770,770,600,1200,1550,1550,1200
2,0.116,0.156,0.476,0.429,1.46,0.127,0.035,0.121,600,680,770,600,1290,1550,1550,1290
2,0.116,0.145,0.47,0.458,1.501,0.127,0.046,0.139,600,770,770,600,1200,1550,1550,1200
2,0.121,0.145,0.464,0.493,1.525,0.117,0.034,0.151,600,770,770,600,1200,1550,1550,1290
2,0.116,0.162,0.493,0.446,1.525,0.122,0.035,0.151,600,770,770,600,1200,1550,1550,1200
2,0.133,0.168,0.493,0.499,1.56,0.116,0.029,0.122,600,770,770,600,1290,1550,1550,1290
2,0.116,0.168,0.481,0.458,1.53,0.116,0.04,0.151,600,770,770,600,1200,1550,1550,1290
2,0.127,0.179,0.441,0.318,1.344,0.104,0.024,0.151,600,600,860,860,1460,1550,1630,1550
2,0.121,0.15,0.441,0.33,1.344,0.122,0.047,0.133,600,680,860,770,1200,1550,1630,1550
2,0.133,0.145,0.446,0.487,1.497,0.105,0.034,0.147,600,940,940,860,1290,1550,1630,1550
2,0.127,0.139,0.476,0.388,1.42,0.122,0.023,0.145,600,940,860,860,1290,1630,1630,1800
2,0.127,0.139,0.446,0.516,1.547,0.122,0.04,0.157,600,680,940,860,1290,1550,1630,1550
2,0.15,0.15,0.441,0.615,1.647,0.088,0.041,0.162,600,770,940,860,1290,1630,1630,1550
2,0.121,0.145,0.446,0.568,1.599,0.122,0.046,0.151,600,940,940,860,1200,1550,1630,1550
2,0.127,0.156,0.464,0.626,1.681,0.122,0.029,0.157,600,600,860,860,1200,1630,1630,1550
2,0.127,0.15,0.458,0.377,1.41,0.116,0.029,0.153,600,680,860,860,1460,1630,1720,1550
2,0.133,0.156,0.487,0.615,1.676,0.116,0.041,0.128,600,940,860,860,1200,1890,1720,1720
2,0.127,0.162,0.464,0.377,1.426,0.122,0.023,0.151,600,940,860,940,1200,1890,1720,1800
2,0.104,0.15,0.452,0.348,1.38,0.134,0.029,0.163,600,680,860,600,1200,1630,1720,1550
2,0.139,0.15,0.458,0.51,1.589,0.128,0.041,0.163,600,940,940,860,1550,1890,1890,1800
2,0.127,0.15,0.464,0.394,1.438,0.122,0.024,0.157,600,680,860,600,1290,1890,1720,1550
2,0.127,0.145,0.441,0.574,1.611,0.116,0.046,0.162,600,940,940,860,1460,1630,1630,1550
2,0.121,0.139,0.464,0.545,1.57,0.122,0.04,0.139,600,940,860,940,1290,1630,1720,1800
2,0.116,0.139,0.452,0.505,1.542,0.127,0.04,0.163,600,680,860,940,1290,1630,1720,1630
2,0.121,0.139,0.458,0.615,1.664,0.128,0.046,0.157,600,940,860,860,1290,1630,1720,1550
2,0.121,0.168,0.476,0.632,1.692,0.122,0.023,0.15,600,680,860,860,1200,1890,1890,1290
3,0.162,0.197,0.754,1.428,2.576,0.035,0,0,600,770,680,600,1290,1630,1630,1630
3,0.15,0.191,0.667,1.956,3.022,0.058,0,0,600,770,680,600,1290,1630,1630,1630
3,0.15,0.203,0.772,1.816,2.994,0.053,0,0,600,680,680,600,1200,1630,1630,1630
3,0.156,0.191,0.824,1.903,3.121,0.047,0,0,600,680,680,600,1200,1630,1630,1630
3,0.145,0.191,0.772,1.677,2.854,0.069,0,0,600,680,680,600,1200,1630,1630,1630
3,0.15,0.208,0.748,1.7,2.853,0.047,0,0,600,680,680,600,1200,1630,1630,1630
3,0.139,0.208,0.708,1.85,2.98,0.075,0,0,600,680,680,600,1290,1630,1630,1630
3,0.162,0.208,0.731,1.81,2.952,0.041,0,0,600,680,680,600,1200,1630,1630,1630
3,0.139,0.208,0.772,1.706,2.883,0.058,0,0,600,680,680,600,1200,1630,1630,1630
3,0.15,0.203,0.684,1.893,2.977,0.047,0,0,600,680,680,600,1200,1630,1630,1630
