individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
1,0.145,0.197,0.621,1.486,2.553,0.104,0,0,680,770,770,600,1370,1630,1630,1630
1,0.121,0.197,0.661,1.428,2.57,0.163,0,0,680,770,860,680,1370,1630,1630,1630
1,0.139,0.191,0.621,1.625,2.698,0.122,0,0,680,770,860,680,1370,1630,1630,1630
1,0.139,0.174,0.65,1.491,2.57,0.116,0,0,680,770,860,680,1370,1630,1630,1630
1,0.156,0.191,0.65,1.491,2.622,0.134,0,0,680,770,860,600,1370,1720,1720,1630
1,0.156,0.168,0.644,1.578,2.657,0.111,0,0,680,770,860,680,1370,1630,1630,1630
1,0.121,0.179,0.638,1.444,2.522,0.14,0,0,680,770,860,680,1370,1630,1630,1630
1,0.127,0.174,0.638,1.456,2.54,0.145,0,0,680,770,860,680,1370,1630,1630,1630
1,0.133,0.168,0.655,1.444,2.539,0.139,0,0,680,770,860,600,1370,1630,1630,1630
1,0.127,0.191,0.655,1.358,2.476,0.145,0,0,680,770,860,600,1370,1630,1630,1630
2,0.11,0.127,0.417,0.667,1.641,0.122,0.047,0.151,610,810,810,770,1290,1630,1630,1550
2,0.116,0.127,0.429,0.655,1.629,0.116,0.041,0.145,600,940,860,770,1290,1630,1630,1550
2,0.121,0.139,0.458,0.684,1.646,0.105,0.023,0.116,600,940,860,770,1550,1890,1630,1550
2,0.116,0.133,0.412,0.597,1.571,0.122,0.046,0.145,600,940,860,770,1800,1890,1720,1550
2,0.127,0.133,0.417,0.638,1.606,0.105,0.046,0.14,600,940,860,860,1550,1630,1630,1550
2,0.11,0.145,0.47,0.545,1.583,0.128,0.029,0.156,600,770,770,770,1390,1630,1550,1550
2,0.121,0.145,0.452,0.563,1.607,0.117,0.04,0.169,600,770,770,770,1460,1630,1550,1460
2,0.116,0.168,0.47,0.545,1.588,0.127,0.029,0.133,600,770,770,600,1550,1550,1550,1460
2,0.127,0.174,0.458,0.528,1.583,0.116,0.017,0.163,600,770,770,770,1290,1550,1550,1460
2,0.11,0.145,0.458,0.534,1.578,0.128,0.04,0.163,600,770,770,680,1550,1550,1630,1460
3,0.15,0.162,0.737,2.362,3.435,0.024,0,0,600,770,680,600,1200,1550,1550,1550
3,0.15,0.168,0.667,2.327,3.347,0.035,0,0,600,770,770,600,1200,1630,1550,1630
3,0.133,0.174,0.667,2.205,3.243,0.064,0,0,600,770,770,600,1200,1630,1550,1550
3,0.15,0.185,0.743,2.258,3.371,0.035,0,0,600,770,770,600,1290,1630,1550,1630
3,0.139,0.168,0.719,2.374,3.452,0.052,0,0,600,770,770,600,1290,1630,1550,1550
3,0.139,0.197,0.743,1.19,2.315,0.046,0,0,600,680,680,600,1290,1630,1630,1630
3,0.156,0.214,0.766,0.992,2.151,0.023,0,0,600,680,680,600,1290,1630,1630,1630
3,0.15,0.179,0.719,1.962,3.105,0.053,0.024,0.018,600,680,680,600,1290,1630,1550,1630
3,0.15,0.22,0.748,1.59,2.732,0.024,0,0,600,770,680,600,1290,1630,1550,1630
